aphiaid,animal_origin,stock,length,length_type,weight,life_stage,age,sex,animal_reference_id,animal_project_reference,datacenter_reference
158075,H,Central Valley Late-Fall,0.154,FORK,0.0426,UNKNOWN,5.33,UNKNOWN,MACFL-14811,MACFL,nep
158075,H,Central Valley Late-Fall,0.155,FORK,0.0413,UNKNOWN,5.33,UNKNOWN,MACFL-14812,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0417,UNKNOWN,5.33,UNKNOWN,MACFL-14813,MACFL,nep
158075,H,Central Valley Late-Fall,0.155,FORK,0.0404,UNKNOWN,5.33,UNKNOWN,MACFL-14814,MACFL,nep
158075,H,Central Valley Late-Fall,0.159,FORK,0.0478,UNKNOWN,5.33,UNKNOWN,MACFL-14815,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0366,UNKNOWN,5.33,UNKNOWN,MACFL-14816,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.032,UNKNOWN,5.33,UNKNOWN,MACFL-14817,MACFL,nep
158075,H,Central Valley Late-Fall,0.154,FORK,0.0415,UNKNOWN,5.33,UNKNOWN,MACFL-14818,MACFL,nep
158075,H,Central Valley Late-Fall,0.167,FORK,0.0485,UNKNOWN,5.33,UNKNOWN,MACFL-14819,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.0506,UNKNOWN,5.33,UNKNOWN,MACFL-14820,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0373,UNKNOWN,5.33,UNKNOWN,MACFL-14821,MACFL,nep
158075,H,Central Valley Late-Fall,0.144,FORK,0.0329,UNKNOWN,5.33,UNKNOWN,MACFL-14822,MACFL,nep
158075,H,Central Valley Late-Fall,0.157,FORK,0.0425,UNKNOWN,5.33,UNKNOWN,MACFL-14823,MACFL,nep
158075,H,Central Valley Late-Fall,0.181,FORK,0.064,UNKNOWN,5.33,UNKNOWN,MACFL-14824,MACFL,nep
158075,H,Central Valley Late-Fall,0.157,FORK,0.0483,UNKNOWN,5.33,UNKNOWN,MACFL-14825,MACFL,nep
