release_reference_id,release_reference_type,latitude (degrees_north),longitude (degrees_east),time (UTC),expected_enddate (UTC),manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id,transmittername,release_project_reference,tag_device_id,datacenter_reference
WRS-36737,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091880,A69-1303,36737,A69-1303-36737,WRS,A69-1303-36737,OTN-Global
WRS-36736,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091879,A69-1303,36736,A69-1303-36736,WRS,A69-1303-36736,OTN-Global
WRS-36735,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091878,A69-1303,36735,A69-1303-36735,WRS,A69-1303-36735,OTN-Global
WRS-36734,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091877,A69-1303,36734,A69-1303-36734,WRS,A69-1303-36734,OTN-Global
WRS-36733,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091876,A69-1303,36733,A69-1303-36733,WRS,A69-1303-36733,OTN-Global
WRS-36732,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091875,A69-1303,36732,A69-1303-36732,WRS,A69-1303-36732,OTN-Global
WRS-36731,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091874,A69-1303,36731,A69-1303-36731,WRS,A69-1303-36731,OTN-Global
WRS-36730,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091873,A69-1303,36730,A69-1303-36730,WRS,A69-1303-36730,OTN-Global
WRS-36729,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091872,A69-1303,36729,A69-1303-36729,WRS,A69-1303-36729,OTN-Global
WRS-36728,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091871,A69-1303,36728,A69-1303-36728,WRS,A69-1303-36728,OTN-Global
WRS-36727,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091870,A69-1303,36727,A69-1303-36727,WRS,A69-1303-36727,OTN-Global
WRS-36726,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091869,A69-1303,36726,A69-1303-36726,WRS,A69-1303-36726,OTN-Global
WRS-36725,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091868,A69-1303,36725,A69-1303-36725,WRS,A69-1303-36725,OTN-Global
WRS-36724,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091867,A69-1303,36724,A69-1303-36724,WRS,A69-1303-36724,OTN-Global
WRS-36723,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091866,A69-1303,36723,A69-1303-36723,WRS,A69-1303-36723,OTN-Global
WRS-36722,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091865,A69-1303,36722,A69-1303-36722,WRS,A69-1303-36722,OTN-Global
WRS-36721,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091864,A69-1303,36721,A69-1303-36721,WRS,A69-1303-36721,OTN-Global
WRS-36720,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091863,A69-1303,36720,A69-1303-36720,WRS,A69-1303-36720,OTN-Global
WRS-36719,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091862,A69-1303,36719,A69-1303-36719,WRS,A69-1303-36719,OTN-Global
WRS-36718,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091861,A69-1303,36718,A69-1303-36718,WRS,A69-1303-36718,OTN-Global
WRS-36717,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091860,A69-1303,36717,A69-1303-36717,WRS,A69-1303-36717,OTN-Global
WRS-36716,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091859,A69-1303,36716,A69-1303-36716,WRS,A69-1303-36716,OTN-Global
WRS-36715,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091858,A69-1303,36715,A69-1303-36715,WRS,A69-1303-36715,OTN-Global
WRS-36714,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091857,A69-1303,36714,A69-1303-36714,WRS,A69-1303-36714,OTN-Global
WRS-36713,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091856,A69-1303,36713,A69-1303-36713,WRS,A69-1303-36713,OTN-Global
WRS-36712,ANIMAL,44.56726,-64.33425,2010-05-06T13:55:12Z,2010-10-10T13:55:12Z,VEMCO,V9-1L,1091855,A69-1303,36712,A69-1303-36712,WRS,A69-1303-36712,OTN-Global
WRS-36711,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091854,A69-1303,36711,A69-1303-36711,WRS,A69-1303-36711,OTN-Global
WRS-36710,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091853,A69-1303,36710,A69-1303-36710,WRS,A69-1303-36710,OTN-Global
WRS-36709,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091852,A69-1303,36709,A69-1303-36709,WRS,A69-1303-36709,OTN-Global
WRS-36708,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091851,A69-1303,36708,A69-1303-36708,WRS,A69-1303-36708,OTN-Global
