deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-Dal Junction-VR2W-120002-2013,ManmadePlatform,120002,VEMCO,48.04458,-66.53629,2013-04-24T16:44:00Z,2013-09-10T21:12:00Z,9,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Dal Junction,OTN-Global
ASF-Rest Upper-VR2W-113168-2013,ManmadePlatform,113168,VEMCO,47.97702,-66.9274,2013-06-27T03:00:00Z,2013-10-23T15:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Rest Upper,OTN-Global
ASF-Rest Lower-VR2W-108611-2013,ManmadePlatform,108611,VEMCO,47.97702,-66.9274,2013-06-27T03:00:00Z,2013-10-23T15:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Rest Lower,OTN-Global
ASF-Cascapedia 1-VR2W-113162-2013,ManmadePlatform,113162,VEMCO,48.20829,-65.90458,2013-05-22T00:30:00Z,2013-06-04T15:00:00Z,4,2.5,UNKNOWN,ASF,VR2W,ASF_ASF-Cascapedia 1,OTN-Global
ASF-Cascapedia 2-Minilogger-88454-2013,ManmadePlatform,Minilogger-88454,VEMCO,48.1896,-65.90367,2013-05-22T02:10:00Z,2013-06-04T15:00:00Z,3,2,UNKNOWN,ASF,MiniLogger,ASF_ASF-Cascapedia 2,OTN-Global
ASF-Barnaby Isand-VR2W-113157-2013,ManmadePlatform,113157,VEMCO,46.91093,-65.62212,2013-04-23T18:31:37Z,2013-08-08T12:45:01Z,4,2.5,UNKNOWN,ASF,VR2W,ASF_ASF-Barnaby Isand,OTN-Global
ASF-Cassilis 2-VR2W-109398-2013,ManmadePlatform,109398,VEMCO,46.93493,-65.78328,2013-04-23T17:51:50Z,2013-10-17T14:30:00Z,2,2,UNKNOWN,ASF,VR2W,ASF_ASF-Cassilis 2,OTN-Global
ASF-Middle Is.-VR2W-105399-2013,ManmadePlatform,105399,VEMCO,47.05507,-65.45698,2013-04-23T16:31:20Z,2013-10-23T17:45:00Z,10,6,UNKNOWN,ASF,VR2W,ASF_ASF-Middle Is.,OTN-Global
ASF-2014 Dal Junction 1-VR2W-120002-2014,ManmadePlatform,120002,VEMCO,48.04458,-66.53629,2014-05-21T20:45:00Z,2014-09-16T17:46:00Z,9,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 Dal Junction 1,OTN-Global
ASF-2014 Dal Junction 2-VR2W-120010-2014,ManmadePlatform,120010,VEMCO,48.05157,-66.53998,2014-05-21T20:50:00Z,2014-09-16T17:53:00Z,9,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 Dal Junction 2,OTN-Global
ASF-2014 Doyle's-VR2W-105401-2014,ManmadePlatform,105401,VEMCO,46.84381,-65.73227,2014-05-05T17:34:00Z,2014-07-31T17:57:00Z,123.8,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 Doyle's,OTN-Global
