transmitter_id,transmitter_codespace,detection_transmittername
22769,A69-1303,A69-1303-22769
19541,A69-1303,A69-1303-19541
22670,A69-1303,A69-1303-22670
22807,A69-1303,A69-1303-22807
19527,A69-1303,A69-1303-19527
22819,A69-1303,A69-1303-22819
22821,A69-1303,A69-1303-22821
22724,A69-1303,A69-1303-22724
2880,A69-1204,A69-1204-2880
2875,A69-1204,A69-1204-2875
2877,A69-1204,A69-1204-2877
2878,A69-1204,A69-1204-2878
2879,A69-1204,A69-1204-2879
2883,A69-1204,A69-1204-2883
2885,A69-1204,A69-1204-2885
2886,A69-1204,A69-1204-2886
2887,A69-1204,A69-1204-2887
2888,A69-1204,A69-1204-2888
2889,A69-1204,A69-1204-2889
2891,A69-1204,A69-1204-2891
56383,A69-1303,A69-1303-56383
56386,A69-1303,A69-1303-56386
56387,A69-1303,A69-1303-56387
56390,A69-1303,A69-1303-56390
56362,A69-1303,A69-1303-56362
56392,A69-1303,A69-1303-56392
56366,A69-1303,A69-1303-56366
56367,A69-1303,A69-1303-56367
56368,A69-1303,A69-1303-56368
56369,A69-1303,A69-1303-56369
56370,A69-1303,A69-1303-56370
56371,A69-1303,A69-1303-56371
56372,A69-1303,A69-1303-56372
56373,A69-1303,A69-1303-56373
56375,A69-1303,A69-1303-56375
56376,A69-1303,A69-1303-56376
56377,A69-1303,A69-1303-56377
56378,A69-1303,A69-1303-56378
56379,A69-1303,A69-1303-56379
56380,A69-1303,A69-1303-56380
56381,A69-1303,A69-1303-56381
56382,A69-1303,A69-1303-56382
56384,A69-1303,A69-1303-56384
56385,A69-1303,A69-1303-56385
56388,A69-1303,A69-1303-56388
56389,A69-1303,A69-1303-56389
56391,A69-1303,A69-1303-56391
14164,A69-1303,A69-1303-14164
14163,A69-1303,A69-1303-14163
1009,A180-1306,A180-1306-1009
14162,A69-1303,A69-1303-14162
1006,A180-1306,A180-1306-1006
14152,A69-1303,A69-1303-14152
14165,A69-1303,A69-1303-14165
14155,A69-1303,A69-1303-14155
14166,A69-1303,A69-1303-14166
14156,A69-1303,A69-1303-14156
14154,A69-1303,A69-1303-14154
1001,A180-1306,A180-1306-1001
1003,A180-1306,A180-1306-1003
1004,A180-1306,A180-1306-1004
1002,A180-1306,A180-1306-1002
14157,A69-1303,A69-1303-14157
14161,A69-1303,A69-1303-14161
14171,A69-1303,A69-1303-14171
14158,A69-1303,A69-1303-14158
10553,A69-1303,A69-1303-10553
10556,A69-1303,A69-1303-10556
10560,A69-1303,A69-1303-10560
10561,A69-1303,A69-1303-10561
